group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
희두_나연,CoTSHE9u-rQ,"환승연애2🎀무심코 툭 던진 희두, 츤데레의 정석 (feat.나연 - 이거 범죄여~)",529887,4670,34,1.0,0.0,0.0,2022-08-30T07:52:42Z
희두_나연,cOxGHpnnEik,[#환승연애2] 🙎‍♀️: &#39;여기는 아직 안 헤어진 것 같은데요?&#39; 서로 서운했던 점을 이야기하며 눈물 터진 희두X나연 | #샾잉,517939,2292,0,0.0,0.0,0.0,2022-08-25T15:00:33Z
해은_규민,8iRjHtAOCEU,[#환승연애2] 최종 선택을 위한 현규X해은X규민의 진실게임💧 규민의 아련한 진심이 드러난 순간 | #샾잉,511462,2329,0,0.0,0.0,0.0,2022-10-20T15:02:00Z
해은_규민,okqCXU4hwto,[#환승연애2] 영원할 줄 알았던 첫사랑의 마침표... 과몰입하게 되는 규민X해은 모음 | #나중에또볼동영상,504979,3134,0,0.0,0.0,0.0,2022-09-21T09:00:24Z
해은_규민,18fBe6RDp_M,해은 집어삼킨 규민 ㅋㅋ #환승연애4,482411,4782,0,0.0,0.0,0.0,2025-09-19T08:00:03Z
희두_나연,7pTHo0tudik,[환승연애2] “나 약 올리는 줄 알았어” 오해를 풀어가는 나연-희두ㅣ9화 클립,472636,2535,0,0.0,0.0,0.0,2022-08-20T05:00:04Z
희두_나연,1Dv_PLKlWD4,(SUB) 희두 나연 또 시작임 (positive) | 삿포로 다 이기는 국내 히든스팟❄️,468997,4516,292,1.0,0.0,0.0,2024-12-06T09:00:05Z
희두_나연,ECLS-4D3k4Y,[환승연애2] &quot;왜 우린 안될까?&quot; 사랑했지만 좁혀지지 않는 나연X희두의 거리 | 12화 클립,462397,2601,0,0.0,0.0,0.0,2022-09-13T10:00:07Z
희두_나연,Puiissv4Dt8,그네만 있어도 잘 노는 희두X나연,449396,7541,28,1.0,0.0,0.0,2024-06-06T09:00:18Z
희두_나연,drubOIV2rEs,[환승연애2] 또 싸우는 희두 나연,445170,4395,91,0.0,1.0,0.0,2022-09-30T06:04:02Z
희두_나연,h7H5GPxlP30,[#환승연애2] 재회 마음이 없어졌어요. 있었는데? 아뇨 없어요 그냥. 거품처럼 사라진 희두 X 나연의 재회 가능성 | #지금꼭볼동영상,441669,1742,0,0.0,0.0,0.0,2022-10-08T00:05:00Z
희두_나연,754ZZkkWJ8M,[#환승연애2/20화] 결국 최종커플이 된 나연과 희두는 행복하게 살았답니다♥ 그리고 지금,436013,3022,0,0.0,0.0,0.0,2022-11-07T00:01:00Z
희두_나연,oYd5GoDOPeI,"(ENC CC) 나연의 반려견, 희두 만나면 00를 한다? | 나연 희두 인터뷰, 밤비, 설이, 에스콰이어",417132,6696,249,1.0,0.0,0.0,2022-12-30T06:00:12Z
희두_나연,86zoKiV2S_c,T희두 vs F나연이의 대화,409004,7107,137,0.67,0.0,0.33,2023-10-30T14:00:10Z
희두_나연,yCmcNUy3O9w,[#환승연애2] 1:1 대화에서 진심을 전한 나연과 흔들리는 희두… 한 쪽이 놓으면 끝나는 관계가 되어버릴까? | #지금꼭볼동영상,407159,1614,0,0.0,0.0,0.0,2022-10-15T00:05:00Z
희두_나연,x2oNT4RtiHk,"환승연애 나연과 희두, 그리고 지금...? ❤️‍🩹 EP.475",374653,4213,66,1.0,0.0,0.0,2022-11-07T09:00:37Z
희두_나연,Gf3Z1o8CE68,[환승연애2]희두나연 엔딩이 젤 조아🥰,372900,4249,224,0.33,0.0,0.67,2022-10-28T17:45:22Z
해은_규민,cwy3198mFng,환승연애2 🎀 펑펑 울다 규민이 문자 한 통에 빵긋 웃는 해은😂,351577,2877,145,0.33,0.33,0.33,2022-09-03T09:51:24Z
희두_나연,YGo6TUnVJiQ,"[ENG] 희두 완전 FOX네…🦊♥ 4년차 커플 희두&amp;나연, 현실 커플의 달달구리 텐션 모두 공개합니다!ㅣ이나연ㅣ남희두ㅣ케미맛ZIP",349860,5359,178,0.67,0.0,0.33,2023-01-16T00:00:10Z
희두_나연,LABsPSSDZPM,VLOGㅣ나연&amp;희두 커플과의 2박3일 제주 여행ㅣ인스타 피드용 사진 찍는 법 그리고 아이폰 추천ㅣ여름맞이 언박싱ㅣ제주 숙소 추천ㅣ제주 맛집,348175,2628,177,0.33,0.0,0.67,2024-07-04T18:42:48Z
희두_나연,XrsRAU9uYKo,[#환승연애2] 헤어졌어도 희두와의 커플링은 빼지 않았던 나연💍 앞으로 평생 끼자며 맞춘 커플링과 함께 떠오르는 추억들 | #샾잉,346746,1730,0,0.0,0.0,0.0,2022-09-15T15:01:00Z
해은_규민,zJzN0p5nQRQ,[#환승연애2] 규민 사랑하지 않는 법 아직 모르는 해은😢 정규민밖에 모르는 바보는 오늘도 문자를 보냅니다..☆ | #샷추가,344745,1441,0,0.0,0.0,0.0,2022-08-12T03:00:18Z
해은_규민,20Vx5FTM8YQ,[규민X해은] 장기연애 짬바,317321,3320,0,0.0,0.0,0.0,2022-09-29T15:32:30Z
해은_규민,3et-1-JuDVk,[환승연애2] 해은 규민,317305,2955,43,0.33,0.0,0.67,2022-10-22T01:55:22Z
해은_규민,05eA4x90-lo,❤️‍🔥 [환승연애2] 거짓말해서 미안해 - 해은 규민 나연 지수,294129,1436,0,0.0,0.0,0.0,2022-08-21T13:40:27Z
해은_규민,zCuuqYTnOos,환승연애2 규민 말려도 앞에 서면 웃참 안되는 해은,277929,926,149,0.67,0.0,0.33,2022-09-26T08:06:01Z
해은_규민,zhZAsflcOkY,[환승연애2] 규민 해은 댄스배틀,275608,1859,90,1.0,0.0,0.0,2022-09-18T01:40:12Z
해은_규민,1LfMZUVgNSw,[환승연애2] 현규? 규민? 제주 2일 차 해은의 속마음 문자가 향한 곳 | 16화 클립,247363,2582,0,0.0,0.0,0.0,2022-10-04T08:16:16Z
해은_규민,QDLDFlKi1D0,[#환승연애2] 해은과의 추억이 파도처럼 밀려온 순간🌊 차에서 혼자 한참을 운 규민😢 | #샾잉,236783,1777,0,0.0,0.0,0.0,2022-10-27T15:00:28Z
해은_규민,55fUG6VgxHI,환승연애2🎀규민이의 소박한 관심에 빵긋 웃는 해은😆,213470,1786,19,0.33,0.33,0.33,2022-09-12T23:00:02Z
해은_규민,5_dtjgQaUBY,[환승연애2] 갑자기 시작된 규민X해은의 댄스배틀,190490,1440,0,0.0,0.0,0.0,2022-09-24T03:30:02Z
해은_규민,RFNWqy5Voc0,규민해은 서사 그 잡채 노래,183450,0,66,1.0,0.0,0.0,2022-10-27T07:55:59Z
해은_규민,bplJ5Cxw2XQ,[환승연애2] 해은 규민 : 잘가 내 추억의 사람..,176340,2135,42,0.33,0.33,0.33,2022-10-28T15:41:13Z
해은_규민,hJN0SeSW2Hw,[#환승연애2] 진실게임으로 모두에게 밝혀지는 속마음에 흥미진진해지는 분위기😲 현규X해은X규민의 속마음은? | #지금꼭볼동영상,172026,821,0,0.0,0.0,0.0,2022-10-22T00:00:21Z
해은_규민,EuHBxvFWipE,[#환승연애2] 이젠 더 이상 없는 &#39;행복하게 사랑했던 우리&#39;를 마주한 해은의 오열😥 X룸에 담긴 6년의 추억과 충격 반전 규민의 속마음!! | #샾잉,170791,1069,0,0.0,0.0,0.0,2022-09-08T15:01:00Z
해은_규민,jPxTFQPhiSs,해은 현규 환승연애2 보던중 규민 만나자 현규가 했던 SNS 돌발행동  정현규 성해은 환승연애2 20화 리뷰 분석 exchange2,157842,511,41,0.67,0.0,0.33,2022-10-29T12:02:51Z
해은_규민,7X3gK9gFMg4,[환승연애2] 규민 해은 어깨춤,153580,1336,56,0.67,0.0,0.33,2022-09-18T08:28:49Z
해은_규민,EWtssBt-KFY,환승연애2 해은 규민 MV [너는 내 세상이었어],152923,899,35,0.0,1.0,0.0,2022-09-04T08:52:07Z
해은_규민,xhbH_-PZMuE,[환승연애2] 드디어 성사된 규민-해은 투샷😭 단둘이 나눈 대화의 내용은?ㅣ10화 클립,152012,634,0,0.0,0.0,0.0,2022-08-27T05:00:30Z
해은_규민,L9Fqey7w2Qg,환승연애2 해은 규민,147211,2978,68,1.0,0.0,0.0,2022-10-28T14:31:34Z
해은_규민,gSRDhsYl5eI,"환승연애에 진심이었던 우리..🥲 해은맘들과 규민대디의 치열한 갈등, 그리고 극적 화합을 이룬 마지막화 시청 모먼트",145009,1358,37,0.67,0.33,0.0,2022-12-22T03:00:24Z
해은_규민,2FERqX_10Sk,[환승연애2] 해은이 볼까 조마조마한 규민♥나연의 침대 데이트,140886,638,0,0.0,0.0,0.0,2022-08-11T15:30:00Z
해은_규민,fDD6nUleMro,[환승연애2]그리웠던 티키타카 #환승연애2 #해은 #규민,140054,1102,56,0.0,0.67,0.33,2022-10-21T12:32:29Z
해은_규민,kqGcrbuVmC0,"[#환승연애2] (27분) 규민X해은 6년 연애부터 이별, 그리고 다시 만나기까지 | #편집자는",132358,790,0,0.0,0.0,0.0,2022-08-05T11:01:00Z
해은_규민,TSBOamTP10Y,[#환승연애2] “시간이 멈췄으면 좋겠어..” 타이밍이 계속해서 엇갈리는 규민X해은 | #지금꼭볼동영상,114536,520,0,0.0,0.0,0.0,2022-09-10T00:05:00Z
해은_규민,KZSjm6M3xwI,재회를 바라는 사람들이 알아야할 심리와 전략 - 환승연애2 규민 해은 사례 분석 | 심리대화 LBC,114162,1408,274,0.33,0.33,0.33,2022-09-21T09:15:00Z
해은_규민,Y_AFWj7xO0Q,[#환승연애2] 해은과 대화 후 나연을 위로하는 규민😢 | #샾잉,109834,495,0,0.0,0.0,0.0,2022-09-01T15:00:19Z
해은_규민,BpA_awWaTVM,"환승연애2 15화 현규 해은을 선택, 규민의 질투? (+내일 봬요 누나)",92693,393,103,0.6,0.2,0.2,2022-09-23T14:03:08Z
해은_규민,e9ZC6HmrQH8,"[#환승연애2] 규민 방에서 수건 개는 해은X규민, 그리고 그걸 바라보는 원빈..? 😅 | #지금꼭볼동영상",87085,382,0,0.0,0.0,0.0,2022-09-03T00:00:13Z
해은_규민,kMf0RjjCb1A,환승연애2 해은 장애물과 큰 상처가 아니길 바라는 규민,85891,565,146,0.33,0.67,0.0,2022-09-29T06:12:41Z
해은_규민,eXQUwtFeMUI,환승연애2 다시 만나 오매불망 된 해은 묵묵히 짐을 옮겨 주는 규민,83178,454,46,0.33,0.33,0.33,2022-09-28T11:37:33Z
해은_규민,ZKaVNBKKb3I,[환승연애2 18회리뷰&amp; 19회예고] 현규-해은 최종선택! 규민은 결국...!,83140,537,41,0.33,0.67,0.0,2022-10-16T05:11:09Z
해은_규민,o_uix8LGD6Y,&#39;환승연애2&#39; 해은 X 규민 커플을 위해 만들어진 노래인 듯..찰떡 #shorts,79447,928,7,0.33,0.33,0.33,2022-12-26T04:24:49Z
해은_규민,obpF3s6vaes,환승연애2 과몰입러가 만든 해은X규민 스토리 자작곡 - 너는 어때  by 이갱호,76570,899,61,0.75,0.0,0.25,2022-10-23T12:56:44Z
해은_규민,-Hp9a5g3aSc,[환승연애2] 현규 해은 스킨십을 본 규민의 반응 #shorts,75065,1313,0,0.0,0.0,0.0,2022-10-13T15:06:00Z
해은_규민,xLavTD7Bjrs,[#환승연애2] 헤어지지 못하는 여자와 이미 마음이 떠난 남자... 규민 💔 해은의 6년 연애사 80분 몰아보기... | #편집자는,71128,453,0,0.0,0.0,0.0,2022-09-09T10:00:38Z
해은_규민,YfTIps4EgCE,규민 앞에서 해은에게 고백하는 현규,70698,1050,11,0.67,0.0,0.33,2022-10-28T11:42:30Z
해은_규민,TGsRgRawz40,환승연애2🎀14화 규민이와 제주도 비행기 탈 생각에 신난 해은이ㅋㅋㅋ (feat.아싸 해은),69693,815,39,0.33,0.0,0.67,2022-09-17T17:01:41Z
해은_규민,Zcyc7gpPxj4,환승연애2 현규 해은 규민 현실커플 지인 폭로. 희두 나연 현커증거 딱 걸렸다,68633,84,5,0.67,0.33,0.0,2022-10-03T21:30:04Z
해은_규민,gCiSLBliFv0,[#환승연애2] 해은 X 규민 어깨춤,66986,0,0,0.0,0.0,0.0,2022-09-16T13:23:34Z
해은_규민,vB-z8bW12Xk,환승연애2 현규 눈 스캔 포착 제작진이 뿌린 현규 해은 스포 규민 해은 이별이유 편지,66835,239,24,0.67,0.0,0.33,2022-10-12T22:00:35Z
해은_규민,kFIH1kKiY9M,[환승연애2] 드디어 드러난 해은에 대한 규민의 진심,65538,726,0,0.0,0.0,0.0,2022-10-20T15:30:15Z
해은_규민,j469V4w_3Bw,[환승연애2]18화 현규x해은x규민 진실게임 #환승연애2,62668,302,58,0.33,0.0,0.67,2022-10-14T08:16:09Z
해은_규민,isGNcugzHKM,[규민X해은] 사랑하면 닮는다더니..,59021,476,0,0.0,0.0,0.0,2022-09-30T03:00:14Z
해은_규민,g2R7Jt7_z-k,환승연애2 현규 근황 포착 해은 규민 관계 밝힌 지인 등판 현규 실물 난리난 상황,58175,200,16,0.33,0.67,0.0,2022-10-11T08:51:50Z
해은_규민,ARB1lHsl2Bg,환승연애2 해은 규민 마지막 웃음,57168,905,11,0.67,0.0,0.33,2022-10-21T12:33:56Z
해은_규민,JzmYgvK_RNU,마음이 규민말고 현규로 향하는 해은,54385,833,5,0.67,0.0,0.33,2022-10-01T06:46:09Z
해은_규민,qgAgoEbxkbg,환승연애2 해은 규민 현커라고? 난리난 상황 나연 희두 현커 블라인드 목격담,50645,62,8,0.0,1.0,0.0,2022-10-05T12:26:39Z
해은_규민,4S83hdFXQ9A,#shorts #환승연애2 환승연애2 규민 해은 어깨춤,50421,600,12,0.5,0.0,0.5,2022-09-18T08:38:32Z
해은_규민,flE2p-rwsgg,[#환승연애2] 스물한 살에 만난 첫사랑과 이젠 끝💔 눈물 없이 못 보는 규민X해은의 6년 서사💧 #환연타임 #환승연애4,50019,197,0,0.0,0.0,0.0,2025-09-17T08:00:43Z
해은_규민,1UaJQzeCVfU,[환승연애2 18화] 해은이랑 태이랑... 뭐가 됐든 저는 규민이만 아니면 다 찬성 (핑크공주 해은쓰),47970,697,45,0.67,0.33,0.0,2022-10-15T17:41:56Z
